Side[S]	Cube	Blob	BlobSize	OptScore	Kval	Score	Time
7	c2x2x3	C15x15x23	5175	1059	343	1059	2601.6
3	c4x4x6	C15x15x23	5175	2583	27	2640	8594.8
8	c1x1x9	C8x8x80	5120	512	512	512	90.6
3	c3x4x8	C11x15x31	5115	2523	27	2535	9603.6
4	c1x6x9	C4x29x44	5104	1648	64	1680	6001.6
5	c2x6x7	C11x35x41	15785	5285	125	5474	18122.1
3	c2x7x7	C7x27x27	5103	2457	27	2506	7190.3
2	c5x5x9	C14x14x26	5096	3296	8	3389	7610.7
5	c1x5x6	C5x29x35	5075	1325	125	1335	5845.1
2	c4x7x8	C11x20x23	5060	3268	8	3338	8770.8
4	c3x4x4	C14x19x19	5054	1982	64	2006	7258.7
1	c1x2x7	C1x3x13	39	25	1	25	0.0
5	c1x3x10	C5x17x59	5015	1265	125	1285	5658.5
7	c1x3x4	C7x23x31	4991	875	343	875	4626.1
3	c2x6x8	C7x23x31	4991	2399	27	2456	7358.8
5	c2x2x7	C11x11x41	4961	1461	125	1480	8003.0
9	c1x2x3	C9x19x29	4959	585	729	585	50.8
4	c2x4x6	C9x19x29	4959	1887	64	1907	8289.0
7	c1x2x6	C7x15x47	4935	819	343	819	1187.1
6	c1x3x6	C6x20x41	4920	1032	216	1032	3632.1
4	c2x3x8	C9x14x39	4914	1842	64	1878	7404.9
2	c6x6x6	C17x17x17	4913	3185	8	3269	11029.5
8	c2x2x2	C17x17x17	4913	817	512	817	4607.1
1	c9x9x9	C17x17x17	4913	4184	1	4200	5194.3
5	c3x3x3	C17x17x17	4913	1538	125	1538	8052.1
2	c4x6x9	C11x17x26	4862	3134	8	3193	13090.6
1	c1x3x4	C1x5x7	35	23	1	23	750.0
1	c8x9x10	C15x17x19	4845	4125	1	4139	5635.1
6	c1x2x9	C6x13x62	4836	948	216	948	2048.5
3	c3x5x6	C11x19x23	4807	2377	27	2426	8377.7
2	c3x8x9	C8x23x26	4784	3056	8	3118	7721.7
9	c1x1x6	C9x9x59	4779	405	729	405	48.5
2	c5x6x7	C14x17x20	4760	3080	8	3153	8567.1
8	c1x2x4	C8x17x35	4760	664	512	664	3667.2
1	c1x2x6	C1x3x11	33	21	1	21	750.0
2	c1x1x3	C2x2x8	32	8	8	8	0.0
3	c3x3x10	C11x11x39	4719	2289	27	2316	8751.3
5	c1x4x7	C5x23x41	4715	1215	125	1215	5643.2
4	c3x3x5	C14x14x24	4704	1824	64	1832	8395.8
4	c1x5x10	C4x24x49	4704	1504	64	1527	5184.0
1	c7x10x10	C13x19x19	4693	3993	1	4007	6741.0
3	c2x5x9	C7x19x35	4655	2225	27	2269	6804.6
2	c3x7x10	C8x20x29	4640	2960	8	3007	7467.9
4	c1x7x7	C4x34x34	4624	1488	64	1528	5848.7
5	c1x9x10	C5x53x59	15635	4385	125	4559	11332.4
3	c1x10x10	C3x39x39	4563	1863	27	1912	6813.3
6	c2x2x4	C13x13x27	4563	1107	216	1107	6490.8
8	c1x1x8	C8x8x71	4544	448	512	448	48.8
4	c1x6x8	C4x29x39	4524	1452	64	1480	6017.1
2	c8x9x9	C23x26x26	15548	10364	8	10710	19271.0
2	c5x5x8	C14x14x23	4508	2908	8	2974	8498.4
5	c1x3x9	C5x17x53	4505	1130	125	1155	5042.3
1	c2x2x2	C3x3x3	27	19	1	19	750.0
1	c1x2x5	C1x3x9	27	17	1	17	750.0
4	c4x5x7	C19x24x34	15504	6544	64	6903	16576.7
2	c4x5x10	C11x14x29	4466	2866	8	2921	8627.6
3	c3x4x7	C11x15x27	4455	2187	27	2222	7869.0
10	c1x2x2	C10x21x21	4410	410	1000	410	2520.3
2	c4x7x7	C11x20x20	4400	2832	8	2881	10768.9
6	c1x4x4	C6x27x27	4374	918	216	918	3127.0
1	c1x3x3	C1x5x5	25	16	1	16	0.0
3	c2x6x7	C7x23x27	4347	2079	27	2124	6590.4
8	c1x5x5	C8x44x44	15488	2688	512	2768	10346.8
1	c8x9x9	C15x17x17	4335	3687	1	3700	5732.5
2	c4x6x8	C11x17x23	4301	2765	8	2825	7569.6
5	c2x3x4	C11x17x23	4301	1301	125	1301	4983.3
10	c1x1x4	C10x10x43	4300	300	1000	300	2519.5
8	c2x3x4	C17x26x35	15470	3182	512	3254	12013.6
6	c1x2x8	C6x13x55	4290	834	216	834	1180.3
4	c2x3x7	C9x14x34	4284	1596	64	1596	4393.2
3	c4x4x5	C15x15x19	4275	2115	27	2167	9454.8
1	c8x8x10	C15x15x19	4275	3635	1	3648	5078.4
7	c1x6x6	C7x47x47	15463	3115	343	3231	11157.7
3	c3x3x9	C11x11x35	4235	2048	27	2072	7484.2
5	c2x2x6	C11x11x35	4235	1235	125	1235	3886.1
2	c3x8x8	C8x23x23	4232	2696	8	2755	9199.2
4	c2x8x9	C9x39x44	15444	6228	64	6445	15137.6
4	c1x5x9	C4x24x44	4224	1344	64	1363	6898.6
2	c2x10x10	C5x29x29	4205	2605	8	2659	6168.0
5	c1x5x5	C5x29x29	4205	1080	125	1080	4325.6
1	c7x9x10	C13x17x19	4199	3569	1	3584	5925.8
2	c3x7x9	C8x20x26	4160	2648	8	2693	7428.1
3	c2x5x8	C7x19x31	4123	1963	27	1992	6354.8
1	c1x2x4	C1x3x7	21	13	1	13	0.0
2	c1x1x2	C2x2x5	20	4	8	4	750.0
4	c2x4x5	C9x19x24	4104	1544	64	1569	7411.9
7	c1x4x9	C7x31x71	15407	3059	343	3155	10229.2
7	c1x2x5	C7x15x39	4095	665	343	665	4100.7
3	c2x4x10	C7x15x39	4095	1935	27	1967	6197.0
3	c1x9x10	C3x35x39	4095	1665	27	1689	6064.6
6	c1x3x5	C6x20x34	4080	840	216	840	5206.8
2	c5x6x6	C14x17x17	4046	2606	8	2667	7263.9
5	c1x4x6	C5x23x35	4025	1025	125	1025	5642.0
2	c4x5x9	C11x14x26	4004	2564	8	2607	7872.8
5	c1x3x8	C5x17x47	3995	995	125	995	903.8
3	c3x5x5	C11x19x19	3971	1946	27	1976	5589.0
1	c6x10x10	C11x19x19	3971	3371	1	3382	5294.6
9	c1x1x5	C9x9x49	3969	324	729	324	2033.5
4	c2x2x10	C9x9x49	3969	1409	64	1421	4873.9
8	c1x1x7	C8x8x62	3968	384	512	384	2035.1
9	c1x3x6	C9x29x59	15399	2277	729	2376	9123.2
1	c1x1x10	C1x1x19	19	9	1	9	1125.0
2	c3x6x10	C8x17x29	3944	2504	8	2543	7172.2
4	c1x6x7	C4x29x34	3944	1256	64	1276	5416.6
2	c5x5x7	C14x14x20	3920	2520	8	2571	7605.5
7	c1x1x10	C7x7x79	3871	441	343	441	2541.6
2	c8x8x10	C23x23x29	15341	10221	8	10594	23864.3
1	c8x8x9	C15x15x17	3825	3249	1	3257	5493.3
3	c3x4x6	C11x15x23	3795	1851	27	1869	6758.5
5	c4x4x5	C23x23x29	15341	5341	125	5598	17044.3
2	c2x9x10	C5x26x29	3770	2330	8	2374	7987.3
1	c7x9x9	C13x17x17	3757	3190	1	3200	5692.1
1	c1x1x9	C1x1x17	17	8	1	8	750.0
3	c3x3x8	C11x11x31	3751	1807	27	1828	7021.5
4	c1x5x8	C4x24x39	3744	1184	64	1203	4771.2
6	c1x2x7	C6x13x48	3744	720	216	720	648.5
2	c4x6x7	C11x17x20	3740	2396	8	2431	6679.7
8	c2x2x6	C17x17x53	15317	3029	512	3117	11014.1
4	c3x3x4	C14x14x19	3724	1420	64	1428	6711.0
4	c1x4x10	C4x19x49	3724	1164	64	1180	4528.6
1	c7x8x10	C13x15x19	3705	3145	1	3154	4663.4
7	c1x3x3	C7x23x23	3703	616	343	616	147.8
3	c2x6x6	C7x23x23	3703	1759	27	1780	6882.5
5	c3x3x9	C17x17x53	15317	5192	125	5413	15022.0
2	c3x7x8	C8x20x23	3680	2336	8	2377	6847.1
3	c2x4x9	C7x15x35	3675	1731	27	1757	6379.3
3	c1x9x9	C3x35x35	3675	1488	27	1522	5717.4
4	c2x3x6	C9x14x29	3654	1350	64	1370	5433.1
3	c5x6x9	C19x23x35	15295	8005	27	8406	16828.8
3	c1x8x10	C3x31x39	3627	1467	27	1502	5796.2
3	c2x5x7	C7x19x27	3591	1701	27	1721	7045.0
1	c1x2x3	C1x3x5	15	9	1	9	750.0
1	c1x1x8	C1x1x15	15	7	1	7	0.0
4	c2x2x9	C9x9x44	3564	1260	64	1268	5129.4
1	c6x9x10	C11x17x19	3553	3013	1	3026	4220.9
2	c4x5x8	C11x14x23	3542	2262	8	2292	5476.2
2	c3x6x9	C8x17x26	3536	2240	8	2280	5887.4
8	c1x2x3	C8x17x26	3536	464	512	464	2646.9
2	c4x4x10	C11x11x29	3509	2229	8	2255	5126.9
5	c2x2x5	C11x11x29	3509	1009	125	1009	1388.0
1	c1x1x7	C1x1x13	13	6	1	6	750.0
1	c1x1x6	C1x1x11	11	5	1	5	0.0
1	c1x2x2	C1x3x3	9	5	1	5	0.0
1	c1x1x5	C1x1x9	9	4	1	4	750.0
1	c1x1x4	C1x1x7	7	3	1	3	0.0
1	c1x1x3	C1x1x5	5	2	1	2	0.0
5	c1x3x7	C5x17x41	3485	860	125	860	4889.6
7	c1x1x9	C7x7x71	3479	392	343	392	2565.7
6	c1x6x9	C6x41x62	15252	3588	216	3730	10152.4
8	c1x1x6	C8x8x53	3392	320	512	320	13.9
9	c1x2x9	C9x19x89	15219	2097	729	2148	9441.0
2	c2x9x9	C5x26x26	3380	2084	8	2122	5873.9
6	c2x2x3	C13x13x20	3380	788	216	788	316.9
7	c2x2x2	C15x15x15	3375	631	343	631	533.9
3	c4x4x4	C15x15x15	3375	1647	27	1665	6533.9
1	c8x8x8	C15x15x15	3375	2863	1	2869	4620.5
4	c1x6x6	C4x29x29	3364	1060	64	1068	5685.1
4	c1x4x9	C4x19x44	3344	1040	64	1048	5622.4
2	c2x8x10	C5x23x29	3335	2055	8	2087	5555.9
5	c1x4x5	C5x23x29	3335	835	125	835	1260.8
2	c5x5x6	C14x14x17	3332	2132	8	2173	7134.9
2	c7x9x10	C20x26x29	15080	10040	8	10376	20373.7
1	c7x8x9	C13x15x17	3315	2811	1	2817	4789.8
3	c3x3x7	C11x11x27	3267	1566	27	1589	6249.4
4	c1x5x7	C4x24x34	3264	1024	64	1024	5352.5
6	c2x5x5	C13x34x34	15028	4228	216	4405	15192.8
7	c1x2x4	C7x15x31	3255	511	343	511	3046.6
3	c2x4x8	C7x15x31	3255	1527	27	1553	6446.6
3	c1x8x9	C3x31x35	3255	1311	27	1339	5511.2
9	c1x2x2	C9x19x19	3249	333	729	333	13.5
4	c2x4x4	C9x19x19	3249	1201	64	1201	3629.7
1	c5x10x10	C9x19x19	3249	2749	1	2756	4474.9
2	c3x5x10	C8x14x29	3248	2048	8	2079	5911.7
7	c1x5x7	C7x39x55	15015	3010	343	3083	10450.3
5	c1x2x10	C5x11x59	3245	745	125	745	4632.2
6	c1x3x4	C6x20x27	3240	648	216	648	3583.1
1	c7x7x10	C13x13x19	3211	2721	1	2727	4454.0
3	c3x9x10	C11x35x39	15015	7725	27	8040	19176.7
2	c3x7x7	C8x20x20	3200	2024	8	2040	6740.0
10	c1x1x3	C10x10x32	3200	200	1000	200	14.3
6	c1x2x6	C6x13x41	3198	606	216	606	3102.1
2	c4x6x6	C11x17x17	3179	2027	8	2066	5849.9
1	c6x9x9	C11x17x17	3179	2693	1	2701	4258.0
5	c2x3x3	C11x17x17	3179	929	125	929	1855.7
9	c1x1x4	C9x9x39	3159	243	729	243	2033.5
4	c2x2x8	C9x9x39	3159	1111	64	1111	1667.5
4	c2x7x10	C9x34x49	14994	6034	64	6249	14292.4
3	c1x7x10	C3x27x39	3159	1269	27	1290	5774.5
2	c4x4x9	C11x11x26	3146	1994	8	2023	6344.9
3	c3x4x5	C11x15x19	3135	1515	27	1530	7817.0
1	c6x8x10	C11x15x19	3135	2655	1	2662	4895.3
2	c3x6x8	C8x17x23	3128	1976	8	2000	7223.4
5	c2x5x8	C11x29x47	14993	4993	125	5191	14940.6
7	c1x1x8	C7x7x63	3087	343	343	343	24.5
2	c4x5x7	C11x14x20	3080	1960	8	1996	5628.7
3	c2x5x6	C7x19x23	3059	1439	27	1463	6149.4
4	c2x3x5	C9x14x24	3024	1104	64	1104	4659.3
5	c2x4x10	C11x23x59	14927	4927	125	5089	17561.7
3	c2x3x10	C7x11x39	3003	1383	27	1398	5329.2
2	c2x8x9	C5x23x26	2990	1838	8	1872	5889.4
5	c1x3x6	C5x17x35	2975	725	125	725	4103.0
4	c1x4x8	C4x19x39	2964	916	64	928	5257.4
1	c7x8x8	C13x15x15	2925	2477	1	2482	4716.7
5	c1x2x9	C5x11x53	2915	665	125	665	1250.1
2	c3x5x9	C8x14x26	2912	1832	8	1864	7419.0
1	c5x9x10	C9x17x19	2907	2457	1	2465	4860.5
2	c2x7x10	C5x20x29	2900	1780	8	1812	5763.3
3	c1x8x8	C3x31x31	2883	1155	27	1167	5848.7
1	c7x7x9	C13x13x17	2873	2432	1	2436	4830.5
8	c1x4x6	C8x35x53	14840	2552	512	2632	7918.2
3	c2x4x7	C7x15x27	2835	1323	27	1331	5847.8
3	c1x7x9	C3x27x35	2835	1134	27	1155	5300.3
8	c1x1x5	C8x8x44	2816	256	512	256	2032.8
1	c6x8x9	C11x15x17	2805	2373	1	2378	3942.2
4	c1x5x6	C4x24x29	2784	864	64	876	4891.4
2	c4x4x8	C11x11x23	2783	1759	8	1763	6865.6
3	c3x3x6	C11x11x23	2783	1325	27	1331	5787.1
5	c2x2x4	C11x11x23	2783	783	125	783	458.2
4	c3x5x9	C14x24x44	14784	6144	64	6448	18063.1
4	c2x2x7	C9x9x34	2754	962	64	962	3615.3
2	c5x5x5	C14x14x14	2744	1744	8	1763	6808.1
4	c3x3x3	C14x14x14	2744	1016	64	1016	1800.6
8	c1x3x8	C8x26x71	14768	2480	512	2552	9886.4
4	c1x3x10	C4x14x49	2744	824	64	824	4570.0
2	c3x6x7	C8x17x20	2720	1712	8	1739	4944.7
1	c6x7x10	C11x13x19	2717	2297	1	2301	4546.4
6	c3x4x4	C20x27x27	14580	4212	216	4349	18023.9
7	c1x1x7	C7x7x55	2695	294	343	294	12.7
3	c2x3x9	C7x11x35	2695	1237	27	1253	5379.6
3	c1x6x10	C3x23x39	2691	1071	27	1079	5686.7
6	c1x2x5	C6x13x34	2652	492	216	492	3150.4
2	c2x8x8	C5x23x23	2645	1621	8	1645	5571.2
5	c1x4x4	C5x23x23	2645	645	125	645	4378.6
2	c4x5x6	C11x14x17	2618	1658	8	1680	5386.2
1	c5x9x9	C9x17x17	2601	2196	1	2198	5231.1
2	c2x7x9	C5x20x26	2600	1592	8	1608	5476.8
5	c1x2x8	C5x11x47	2585	585	125	585	3078.9
4	c1x4x7	C4x19x34	2584	792	64	792	4256.6
2	c3x5x8	C8x14x23	2576	1616	8	1637	6326.6
1	c5x8x10	C9x15x19	2565	2165	1	2169	4910.4
2	c3x4x10	C8x11x29	2552	1592	8	1615	4926.4
1	c7x7x8	C13x13x15	2535	2143	1	2146	4683.5
3	c2x5x5	C7x19x19	2527	1177	27	1185	6089.4
1	c4x10x10	C7x19x19	2527	2127	1	2132	5050.9
3	c1x7x8	C3x27x31	2511	999	27	1014	4664.7
7	c2x4x4	C15x31x31	14415	3439	343	3543	12898.1
6	c1x1x10	C6x6x69	2484	324	216	324	2538.0
3	c3x4x4	C11x15x15	2475	1179	27	1179	6741.6
3	c4x8x8	C15x31x31	14415	7503	27	7861	18520.0
1	c6x8x8	C11x15x15	2475	2091	1	2095	4107.1
2	c2x6x10	C5x17x29	2465	1505	8	1528	4390.4
5	c1x3x5	C5x17x29	2465	590	125	590	3647.5
4	c1x3x9	C4x14x44	2464	736	64	736	3886.8
6	c2x4x6	C13x27x41	14391	4023	216	4174	11768.0
6	c2x3x8	C13x20x55	14300	3932	216	4036	12523.1
1	c6x7x9	C11x13x17	2431	2053	1	2056	4461.4
2	c4x4x7	C11x11x20	2420	1524	8	1544	5020.0
2	c6x10x10	C17x29x29	14297	9497	8	9816	18734.8
7	c1x2x3	C7x15x23	2415	357	343	357	2035.9
3	c2x4x6	C7x15x23	2415	1119	27	1127	4990.2
3	c1x6x9	C3x23x35	2415	957	27	969	4677.1
6	c1x3x3	C6x20x20	2400	456	216	456	86.1
4	c2x3x4	C9x14x19	2394	858	64	858	5004.6
5	c3x5x5	C17x29x29	14297	4922	125	5114	13849.2
3	c2x3x8	C7x11x31	2387	1091	27	1103	5170.4
3	c6x6x7	C23x23x27	14283	7479	27	7837	16019.7
9	c1x1x3	C9x9x29	2349	162	729	162	2032.6
4	c2x2x6	C9x9x29	2349	813	64	813	450.1
2	c3x6x6	C8x17x17	2312	1448	8	1460	5271.6
8	c1x2x2	C8x17x17	2312	264	512	264	7.2
4	c1x5x5	C4x24x24	2304	704	64	704	4464.9
7	c1x1x6	C7x7x47	2303	245	343	245	7.1
2	c2x7x8	C5x20x23	2300	1404	8	1424	4763.0
3	c3x3x5	C11x11x19	2299	1084	27	1084	1721.6
1	c6x6x10	C11x11x19	2299	1939	1	1942	4533.6
7	c2x2x8	C15x15x63	14175	3199	343	3269	11660.4
1	c5x8x9	C9x15x17	2295	1935	1	1939	4666.0
2	c3x4x9	C8x11x26	2288	1424	8	1436	4878.5
3	c4x7x9	C15x27x35	14175	7371	27	7729	14205.4
1	c4x9x10	C7x17x19	2261	1901	1	1905	4556.5
5	c1x2x7	C5x11x41	2255	505	125	505	104.8
2	c3x5x7	C8x14x20	2240	1400	8	1414	4449.5
8	c1x1x4	C8x8x35	2240	192	512	192	8.0
10	c2x2x3	C21x21x32	14112	2112	1000	2132	10016.3
6	c1x1x9	C6x6x62	2232	288	216	288	10.9
3	c1x5x10	C3x19x39	2223	873	27	873	4679.1
1	c5x7x10	C9x13x19	2223	1873	1	1876	4661.4
2	c2x6x9	C5x17x26	2210	1346	8	1367	4913.6
9	c2x2x4	C19x19x39	14079	2415	729	2496	12351.9
4	c1x4x6	C4x19x29	2204	668	64	668	4521.9
6	c2x2x2	C13x13x13	2197	469	216	469	2624.6
1	c7x7x7	C13x13x13	2197	1854	1	1857	4462.9
3	c1x7x7	C3x27x27	2187	864	27	876	5234.2
4	c4x4x8	C19x19x39	14079	5887	64	6219	17663.0
4	c1x3x8	C4x14x39	2184	648	64	648	851.0
3	c5x5x10	C19x19x39	14079	7329	27	7697	18503.2
2	c4x5x5	C11x14x14	2156	1356	8	1362	6097.4
1	c6x7x8	C11x13x15	2145	1809	1	1811	4122.3
6	c1x5x10	C6x34x69	14076	3276	216	3396	9014.8
3	c1x6x8	C3x23x31	2139	843	27	851	5739.7
5	c1x9x9	C5x53x53	14045	3920	125	4060	12388.8
6	c1x2x4	C6x13x27	2106	378	216	378	22.9
10	c1x1x2	C10x10x21	2100	100	1000	100	2032.8
3	c2x3x7	C7x11x27	2079	945	27	951	5520.7
2	c4x4x6	C11x11x17	2057	1289	8	1295	6172.7
5	c2x2x3	C11x11x17	2057	557	125	557	122.6
1	c6x6x9	C11x11x17	2057	1733	1	1735	4456.6
5	c1x8x10	C5x47x59	13865	3865	125	3985	12454.2
2	c2x5x10	C5x14x29	2030	1230	8	1243	4806.1
3	c5x7x7	C19x27x27	13851	7236	27	7577	21077.7
1	c5x8x8	C9x15x15	2025	1705	1	1708	4377.7
2	c3x4x8	C8x11x23	2024	1256	8	1266	5070.1
1	c4x9x9	C7x17x17	2023	1699	1	1702	4133.2
4	c5x5x5	C24x24x24	13824	5824	64	6120	15926.4
2	c2x7x7	C5x20x20	2000	1216	8	1225	4607.7
3	c2x4x5	C7x15x19	1995	915	27	915	4089.3
3	c1x5x9	C3x19x35	1995	780	27	792	4322.7
1	c4x8x10	C7x15x19	1995	1675	1	1678	4280.0
1	c5x7x9	C9x13x17	1989	1674	1	1675	4347.0
6	c1x7x7	C6x48x48	13824	3240	216	3366	12523.8
6	c1x1x8	C6x6x55	1980	252	216	252	5.6
2	c2x6x8	C5x17x23	1955	1187	8	1197	4761.2
5	c1x3x4	C5x17x23	1955	455	125	455	36.9
4	c2x2x5	C9x9x24	1944	664	64	664	152.6
4	c3x6x7	C14x29x34	13804	5740	64	6024	15677.8
5	c1x2x6	C5x11x35	1925	425	125	425	25.4
10	c1x3x4	C10x32x43	13760	1760	1000	1760	6145.6
7	c1x1x5	C7x7x39	1911	196	343	196	5.9
3	c2x2x10	C7x7x39	1911	831	27	843	4081.5
2	c8x8x9	C23x23x26	13754	9146	8	9482	18096.3
2	c3x5x6	C8x14x17	1904	1184	8	1194	5035.7
4	c1x3x7	C4x14x34	1904	560	64	560	993.1
1	c5x6x10	C9x11x19	1881	1581	1	1582	4581.1
9	c1x4x4	C9x39x39	13689	2025	729	2124	7064.3
4	c2x8x8	C9x39x39	13689	5497	64	5724	15468.2
3	c1x6x7	C3x23x27	1863	729	27	729	3523.4
1	c6x7x7	C11x13x13	1859	1565	1	1566	4623.8
2	c3x3x10	C8x8x29	1856	1136	8	1136	3576.5
5	c3x4x6	C17x23x35	13685	4685	125	4863	14874.3
7	c1x4x8	C7x31x63	13671	2695	343	2772	9447.5
4	c1x4x5	C4x19x24	1824	544	64	544	375.6
2	c2x5x9	C5x14x26	1820	1100	8	1110	4486.3
10	c1x2x6	C10x21x65	13650	1650	1000	1670	8207.8
3	c3x3x4	C11x11x15	1815	843	27	843	4045.0
1	c6x6x8	C11x11x15	1815	1527	1	1528	4354.1
1	c3x10x10	C5x19x19	1805	1505	1	1508	4461.1
1	c4x8x9	C7x15x17	1785	1497	1	1499	4796.6
3	c2x3x6	C7x11x23	1771	799	27	799	4746.8
3	c1x5x8	C3x19x31	1767	687	27	693	4398.2
4	c2x3x3	C9x14x14	1764	612	64	612	496.2
4	c1x2x10	C4x9x49	1764	484	64	484	84.2
2	c3x4x7	C8x11x20	1760	1088	8	1092	5277.8
3	c1x4x10	C3x15x39	1755	675	27	675	3007.6
1	c5x7x8	C9x13x15	1755	1475	1	1476	4321.8
6	c3x3x5	C20x20x34	13600	3880	216	4010	11641.8
1	c4x7x10	C7x13x19	1729	1449	1	1450	3980.6
6	c1x1x7	C6x6x48	1728	216	216	216	4.3
3	c2x2x9	C7x7x35	1715	743	27	743	1751.6
5	c3x3x8	C17x17x47	13583	4583	125	4749	12492.0
2	c2x6x7	C5x17x20	1700	1028	8	1034	4257.6
2	c4x4x5	C11x11x14	1694	1054	8	1058	5569.0
3	c5x6x8	C19x23x31	13547	7067	27	7391	15198.3
1	c5x6x9	C9x11x17	1683	1413	1	1414	4188.6
2	c1x10x10	C2x29x29	1682	882	8	892	5129.4
2	c3x3x9	C8x8x26	1664	1016	8	1020	5109.2
8	c1x1x3	C8x8x26	1664	128	512	128	5.1
6	c1x6x8	C6x41x55	13530	3162	216	3274	9488.5
2	c7x9x9	C20x26x26	13520	8984	8	9301	15965.3
9	c1x2x8	C9x19x79	13509	1845	729	1845	7535.3
4	c1x3x6	C4x14x29	1624	472	64	472	61.7
3	c3x9x9	C11x35x35	13475	6914	27	7203	13144.6
1	c3x9x10	C5x17x19	1615	1345	1	1345	4792.1
2	c2x5x8	C5x14x23	1610	970	8	980	4463.8
5	c2x6x6	C11x35x35	13475	4475	125	4658	11613.2
2	c2x4x10	C5x11x29	1595	955	8	965	4473.7
4	c2x7x9	C9x34x44	13464	5400	64	5603	13037.0
5	c1x2x5	C5x11x29	1595	345	125	345	10.1
3	c1x6x6	C3x23x23	1587	615	27	615	4051.0
4	c1x2x9	C4x9x44	1584	432	64	432	211.3
7	c1x2x2	C7x15x15	1575	203	343	203	2032.4
7	c2x3x5	C15x23x39	13455	3165	343	3255	12719.3
3	c2x4x4	C7x15x15	1575	711	27	711	4226.5
3	c1x4x9	C3x15x35	1575	603	27	603	4296.8
1	c4x8x8	C7x15x15	1575	1319	1	1319	4614.2
1	c6x6x7	C11x11x13	1573	1321	1	1321	3924.0
3	c4x6x10	C15x23x39	13455	6975	27	7327	14435.2
2	c3x5x5	C8x14x14	1568	968	8	968	4208.1
6	c1x2x3	C6x13x20	1560	264	216	264	2040.5
1	c4x7x9	C7x13x17	1547	1295	1	1296	4120.7
9	c1x1x2	C9x9x19	1539	81	729	81	2032.1
4	c2x2x4	C9x9x19	1539	515	64	515	103.1
3	c1x5x7	C3x19x27	1539	594	27	594	1366.6
1	c5x5x10	C9x9x19	1539	1289	1	1289	2762.5
5	c2x4x9	C11x23x53	13409	4409	125	4522	15679.1
2	c7x8x10	C20x23x29	13340	8860	8	9181	16625.0
1	c5x7x7	C9x13x13	1521	1276	1	1276	3821.7
7	c1x1x4	C7x7x31	1519	147	343	147	2032.3
3	c2x2x8	C7x7x31	1519	655	27	655	4476.6
2	c1x9x10	C2x26x29	1508	788	8	792	4281.4
2	c3x4x6	C8x11x17	1496	920	8	924	4659.7
3	c3x8x10	C11x31x39	13299	6819	27	7087	14623.4
1	c5x6x8	C9x11x15	1485	1245	1	1245	4241.3
6	c1x1x6	C6x6x41	1476	180	216	180	2033.1
5	c1x1x10	C5x5x59	1475	225	125	225	2035.6
2	c3x3x8	C8x8x23	1472	896	8	900	4457.5
3	c2x3x5	C7x11x19	1463	653	27	653	3748.5
1	c4x6x10	C7x11x19	1463	1223	1	1223	2484.3
2	c2x6x6	C5x17x17	1445	869	8	875	4408.7
5	c1x3x3	C5x17x17	1445	320	125	320	2050.9
1	c3x9x9	C5x17x17	1445	1202	1	1204	4211.0
4	c1x4x4	C4x19x19	1444	420	64	420	178.2
2	c2x4x9	C5x11x26	1430	854	8	858	4252.8
1	c3x8x10	C5x15x19	1425	1185	1	1185	1587.8
4	c1x2x8	C4x9x39	1404	380	64	380	120.3
4	c4x5x6	C19x24x29	13224	5544	64	5815	16024.7
2	c2x5x7	C5x14x20	1400	840	8	848	4687.6
3	c1x4x8	C3x15x31	1395	531	27	531	654.2
3	c5x7x9	C19x27x35	17955	9450	27	9879	23395.6
1	c5x5x9	C9x9x17	1377	1152	1	1152	2995.2
1	c4x7x8	C7x13x15	1365	1141	1	1142	3851.6
4	c3x5x8	C14x24x39	13104	5424	64	5668	13052.2
2	c1x9x9	C2x26x26	1352	704	8	710	4822.0
4	c1x3x5	C4x14x24	1344	384	64	384	3055.9
5	c2x5x7	C11x29x41	13079	4329	125	4497	12110.4
2	c1x8x10	C2x23x29	1334	694	8	698	4538.6
2	c4x4x4	C11x11x11	1331	819	8	819	4430.1
3	c3x3x3	C11x11x11	1331	602	27	602	3236.9
5	c2x2x2	C11x11x11	1331	331	125	331	4.4
1	c6x6x6	C11x11x11	1331	1115	1	1115	4423.2
5	c1x1x9	C5x5x53	1325	200	125	200	5.0
3	c2x2x7	C7x7x27	1323	567	27	567	475.8
3	c1x5x6	C3x19x23	1311	501	27	501	4112.6
4	c3x4x10	C14x19x49	13034	5354	64	5602	15330.9
1	c4x6x9	C7x11x17	1309	1093	1	1093	2578.6
6	c2x3x10	C13x20x69	17940	4980	216	5159	14384.7
3	c1x3x10	C3x11x39	1287	477	27	477	446.5
1	c5x6x7	C9x11x13	1287	1077	1	1077	3872.0
2	c3x3x7	C8x8x20	1280	776	8	776	4349.8
1	c3x8x9	C5x15x17	1275	1059	1	1060	4364.5
8	c1x3x7	C8x26x62	12896	2144	512	2216	7975.3
2	c2x4x8	C5x11x23	1265	753	8	757	4448.4
5	c1x2x4	C5x11x23	1265	265	125	265	2.1
7	c1x5x6	C7x39x47	12831	2541	343	2618	10368.3
1	c3x7x10	C5x13x19	1235	1025	1	1025	1276.9
2	c3x4x5	C8x11x14	1232	752	8	752	4347.5
2	c6x9x10	C17x26x29	12818	8498	8	8786	12732.7
4	c1x2x7	C4x9x34	1224	328	64	328	8.4
6	c1x1x5	C6x6x34	1224	144	216	144	2032.5
